id,title,ref
1,АРК,71508128-9b87-11de-822f-000c2965ae0e
2,Вінницька,71508129-9b87-11de-822f-000c2965ae0e
3,Волинська,7150812a-9b87-11de-822f-000c2965ae0e
4,Дніпропетровська,7150812b-9b87-11de-822f-000c2965ae0e
5,Донецька,7150812c-9b87-11de-822f-000c2965ae0e
6,Житомирська,7150812d-9b87-11de-822f-000c2965ae0e
7,Закарпатська,7150812e-9b87-11de-822f-000c2965ae0e
8,Запорізька,7150812f-9b87-11de-822f-000c2965ae0e
9,Івано-Франківська,71508130-9b87-11de-822f-000c2965ae0e
10,Київська,71508131-9b87-11de-822f-000c2965ae0e
11,Кіровоградська,71508132-9b87-11de-822f-000c2965ae0e
12,Луганська,71508133-9b87-11de-822f-000c2965ae0e
13,Львівська,71508134-9b87-11de-822f-000c2965ae0e
14,Миколаївська,71508135-9b87-11de-822f-000c2965ae0e
15,Одеська,71508136-9b87-11de-822f-000c2965ae0e
16,Полтавська,71508137-9b87-11de-822f-000c2965ae0e
17,Рівненська,71508138-9b87-11de-822f-000c2965ae0e
18,Сумська,71508139-9b87-11de-822f-000c2965ae0e
19,Тернопільська,7150813a-9b87-11de-822f-000c2965ae0e
20,Харківська,7150813b-9b87-11de-822f-000c2965ae0e
21,Херсонська,7150813c-9b87-11de-822f-000c2965ae0e
22,Хмельницька,7150813d-9b87-11de-822f-000c2965ae0e
23,Черкаська,7150813e-9b87-11de-822f-000c2965ae0e
24,Чернівецька,7150813f-9b87-11de-822f-000c2965ae0e
25,Чернігівська,71508140-9b87-11de-822f-000c2965ae0e
