id,title,type,ref,area
2609,Євгенівка,4,d7892f9d-76f6-11e9-898c-005056b24375,14
2610,Євгенівка (Одеська обл.),4,497278cf-2e62-11eb-80fb-b8830365bd04,15
2611,Євдокіївка,4,7b635cd3-0fe3-11eb-80fb-b8830365bd04,4
2612,Євминка,4,7ea371c6-1b20-11ea-8c15-0025b502a06e,25
2613,Євсуг,4,3ef9c2af-76f5-11e9-898c-005056b24375,12
2614,Єгорівка,4,22504180-b7a5-11e9-8c22-005056b24375,15
2615,Єгорівка (Запорізька обл),4,cbe08f67-4651-11ec-80fb-b8830365bd04,8
2616,Єгорівка (Прилуцький р-н),4,3708ab41-3d73-11ed-a361-48df37b92096,25
2617,Єзупіль,4,cc3d66f0-9e6a-11e9-898c-005056b24375,9
2618,Єланець,2,06f87960-4079-11de-b509-001d92f78698,14
2619,Єлизаветградка,4,690b2016-9e64-11e9-898c-005056b24375,11
2620,Єлизаветин,4,61725f34-56d6-11ee-a361-48df37b92096,3
2621,Єлизаветівка,4,fc246356-fbed-11e5-899e-005056887b8d,4
2622,Єлизаветівка (Запорізька обл.),4,e0081f1f-b6ef-11eb-80fb-b8830365bd04,8
2623,Єлизаветівка (Мар'їнський р-н),4,0c9ea311-3b1d-11ec-80fb-b8830365bd04,5
2624,Єлизаветівка (Одеська обл.),4,19940dca-3e49-11eb-80fb-b8830365bd04,15
2625,Єлисеївка,4,985e245b-672e-11ec-80fb-b8830365bd04,8
2626,Ємилівка,4,6994d4ef-a7a2-11e9-b73a-005056b24375,11
2628,Ємчиха,4,ede2b4e7-b3a1-11ed-a361-48df37b92096,10
2627,Ємільчине,2,69da41d8-3f5d-11de-b509-001d92f78698,6
2629,Єпіфанівка,4,04eda5d3-b79f-11e9-8c22-005056b24375,12
2630,Єреміївка,4,2f229328-feef-11e9-91ff-0025b501a04b,15
2631,Єрки,3,35c4e0f1-40de-11e5-8d8d-005056887b8d,23
2632,Єрків,4,caaaa76a-96d2-11ea-a970-b8830365ade4,25
2633,Єрківці,4,326cd26c-76f3-11e9-898c-005056b24375,10
2634,Єрчики,4,4eb006d7-29c7-11eb-80fb-b8830365bd04,6
2635,Єфремівка,4,09e961c2-82d1-11e9-898c-005056b24375,14
2636,Єфремівка (Харківська обл.),4,4bd80fcd-b705-11eb-80fb-b8830365bd04,20
3127,Івангород,4,3ef9c285-76f5-11e9-898c-005056b24375,11
3128,Івангород (Черкаська обл.),4,9f4f29d7-5f88-11ec-80fb-b8830365bd04,23
3129,Іване-Пусте,4,6c8c41da-8866-11e9-898c-005056b24375,19
3130,Іваниківка,4,7c552337-afe1-11ea-a970-b8830365ade4,9
3131,Іваниця,4,109c642b-34b4-11eb-80fb-b8830365bd04,25
3132,Іваниця (Сумська обл.),4,643de52a-cdf2-11eb-80fb-b8830365bd04,18
3133,Іваничі (Волинська обл.),2,f706235a-4078-11de-b509-001d92f78698,3
3134,Іваничі (Рівненська обл.),4,095b7c03-64ea-11ed-a361-48df37b92096,17
3187,Іванковичі,4,d7f49864-8850-11e9-898c-005056b24375,10
3175,Іванків (Вишгородський р-н),2,f70622f2-4078-11de-b509-001d92f78698,10
3176,Іванків (Житомирська обл.),4,7fb0d90c-885e-11ee-a361-48df37b92096,6
3177,Іванків (Тернопільська обл.),4,f3b29b43-9e69-11e9-898c-005056b24375,19
3178,Іванків(Бориспільський р-н),4,d6bc18f0-fa5d-11e5-899e-005056887b8d,10
3179,"Іванківці (Дунаєвецький р-н., Хмельницька обл.)",4,e44aafdb-e5e8-11e9-b48a-005056b24375,22
3180,Іванківці (Житомирська обл.),4,2aa4ea3c-afe0-11ea-a970-b8830365ade4,6
3182,"Іванківці (Козятинський р-н., Вінницька обл.)",4,44cc2c29-29c3-11eb-80fb-b8830365bd04,2
3181,Іванківці (Кіровоградська обл.),4,4b7a2141-c9a8-11ed-a361-48df37b92096,11
3183,"Іванківці (Старосинявський р-н., Хмельницька обл.)",4,4e71dae8-e5e9-11e9-b48a-005056b24375,22
3184,Іванківці (Тернопільська обл.),4,4a6ce888-b111-11ed-a361-48df37b92096,19
3185,Іванківці (Хмельницька міська громада),4,ef0683e7-9608-11eb-80fb-b8830365bd04,22
3186,Іванківці (Чернівецька обл.),4,bcb1262f-7d6b-11e9-898c-005056b24375,24
3188,Івано-Благодатне,4,8d215bda-9e07-11eb-80fb-b8830365bd04,11
3189,Івано-Кепине,4,3869653a-7d47-11ee-a361-48df37b92096,14
3191,Івано-Франкове,2,844a3dd3-4d64-11e4-acce-0050568002cf,13
3190,Івано-Франківськ,1,db5c8904-391c-11dd-90d9-001a92567626,9
3192,Івано-Яризівка,4,688f2db1-cde2-11eb-80fb-b8830365bd04,4
3193,Іванове (Лиманський р-н),4,c6476ccd-2dca-11e9-acea-005056b24375,15
3194,Іванове Селище,4,b33b7e0d-1a1d-11eb-80fb-b8830365bd04,16
3195,Іванопілля,4,6f4a77d8-9e5a-11e9-898c-005056b24375,5
3196,Іванопіль,4,92e65524-76ea-11e9-898c-005056b24375,2
3197,Іванопіль (Житомирська обл.),4,f8ce8ae4-8849-11e9-898c-005056b24375,6
3198,Іванчанка,4,32b742a0-34b6-11eb-80fb-b8830365bd04,15
3199,Іванчиці,4,04e240a1-b6f0-11eb-80fb-b8830365bd04,17
3200,Іванчі,4,b955984a-4658-11ec-80fb-b8830365bd04,17
3201,Іваньки,4,aa355848-76fb-11e9-898c-005056b24375,23
3135,Іванів (Калинівський р-н),4,d67013b3-74f0-11e6-a9f2-005056887b8d,2
3146,Іванівка (Івано-Франківська обл.),4,f57b0b21-4641-11ee-a361-48df37b92096,9
3136,Іванівка (Арбузинський р-н),4,4d43892d-e595-11eb-80fb-b8830365bd04,14
3137,Іванівка (Білозерський р-н),4,2b0d2851-a0f4-11ea-a970-b8830365ade4,21
3138,Іванівка (Високопільський р-н),4,fd65bf94-4634-11ec-80fb-b8830365bd04,21
3139,Іванівка (Вінницька обл.),4,51574f3c-40ce-11ee-a361-48df37b92096,2
3140,Іванівка (Голоприст.р-н. Херс. обл.),4,108fddfb-43c7-11eb-80fb-b8830365bd04,21
3141,Іванівка (Дніпропетровська обл.),4,e68423b2-9e60-11e9-898c-005056b24375,4
3142,"Іванівка (Донецька обл, Покровський р-н)",4,7b655b7b-29bf-11eb-80fb-b8830365bd04,5
3143,Іванівка (Донецька обл.),4,a6f77f9b-a96a-11e9-b73a-005056b24375,5
3144,"Іванівка (Житомирський р-н., Жит. обл.)",4,561c38ac-464d-11ec-80fb-b8830365bd04,6
3145,Іванівка (Запорізька обл.),4,18e62a0a-3c2f-11e5-add9-005056887b8d,8
3147,Іванівка (Карлівський р-н),4,1f51bfa4-e3a5-11ed-a361-48df37b92096,16
3150,Іванівка (Корецький р-н),4,5cf81463-3d7c-11ed-a361-48df37b92096,17
3149,Іванівка (Кіровоградська обл.),4,96441c73-64f4-11ed-a361-48df37b92096,11
3148,"Іванівка (Кіровоградська обл., Долинський р-н)",4,27fb06be-fb98-11ed-a361-48df37b92096,11
3151,Іванівка (Межівський р-н),4,39baa7e8-c76e-11ea-a970-b8830365ade4,4
3152,"Іванівка (Миколаївська обл., Очаківський р-н)",4,152a0a20-c350-11e9-b0c5-005056b24375,14
3153,"Іванівка (Миколаївська обл.,Первомайський р-н)",4,a4e9914d-dd9c-11eb-80fb-b8830365bd04,14
3154,Іванівка (Новгород-Сіверський р-н),4,9c8a8261-4624-11ec-80fb-b8830365bd04,25
3155,Іванівка (Обухівський р-н),4,9702066e-5228-11e9-acea-005056b24375,10
3156,"Іванівка (Одеська обл., Березівський р-н)",2,000655f8-4079-11de-b509-001d92f78698,15
3157,Іванівка (Перемишлянський р-н),4,e0634f14-64c6-11ec-80fb-b8830365bd04,13
3159,Іванівка (Полтавська обл.),4,95a4cd56-fee9-11e9-91ff-0025b501a04b,16
3158,Іванівка (Підволочиський р-н),4,d9d38551-07db-11eb-80fb-b8830365bd04,19
3160,Іванівка (Сарненський р-н),4,cfc06cad-5f66-11ec-80fb-b8830365bd04,17
3161,Іванівка (Ставищенський р-н),4,2902a3f2-cf39-11e9-b0c5-005056b24375,10
3162,Іванівка (Сумська обл.),4,82c10b13-b7b7-11e9-8c22-005056b24375,18
3163,Іванівка (Тернопільська обл.),4,723119fe-9e58-11e9-898c-005056b24375,19
3164,Іванівка (Херсонська обл.),2,f70622ce-4078-11de-b509-001d92f78698,21
