id,name,content_type,codename
45,Can add email address,12,add_emailaddress
46,Can change email address,12,change_emailaddress
47,Can delete email address,12,delete_emailaddress
48,Can view email address,12,view_emailaddress
49,Can add email confirmation,13,add_emailconfirmation
50,Can change email confirmation,13,change_emailconfirmation
51,Can delete email confirmation,13,delete_emailconfirmation
52,Can view email confirmation,13,view_emailconfirmation
21,Can add log entry,6,add_logentry
22,Can change log entry,6,change_logentry
23,Can delete log entry,6,delete_logentry
24,Can view log entry,6,view_logentry
13,Can add group,4,add_group
14,Can change group,4,change_group
15,Can delete group,4,delete_group
16,Can view group,4,view_group
9,Can add permission,3,add_permission
10,Can change permission,3,change_permission
11,Can delete permission,3,delete_permission
12,Can view permission,3,view_permission
65,Can add Token,17,add_token
66,Can change Token,17,change_token
67,Can delete Token,17,delete_token
68,Can view Token,17,view_token
450,Can add Заявка з конструктора,113,add_constructorform
451,Can change Заявка з конструктора,113,change_constructorform
452,Can delete Заявка з конструктора,113,delete_constructorform
453,Can view Заявка з конструктора,113,view_constructorform
446,Can add Колір рами,112,add_framecolor
447,Can change Колір рами,112,change_framecolor
448,Can delete Колір рами,112,delete_framecolor
449,Can view Колір рами,112,view_framecolor
426,Can add Тип рами,107,add_frametype
427,Can change Тип рами,107,change_frametype
428,Can delete Тип рами,107,delete_frametype
429,Can view Тип рами,107,view_frametype
430,Can add Параметер групи,108,add_parameter
431,Can change Параметер групи,108,change_parameter
432,Can delete Параметер групи,108,delete_parameter
433,Can view Параметер групи,108,view_parameter
454,Can add Звязок між елементами,114,add_relationship
455,Can change Звязок між елементами,114,change_relationship
456,Can delete Звязок між елементами,114,delete_relationship
457,Can view Звязок між елементами,114,view_relationship
434,Can add Вкладка,109,add_tab
435,Can change Вкладка,109,change_tab
436,Can delete Вкладка,109,delete_tab
437,Can view Вкладка,109,view_tab
442,Can add Група,111,add_tabgroup
443,Can change Група,111,change_tabgroup
444,Can delete Група,111,delete_tabgroup
445,Can view Група,111,view_tabgroup
438,Can add Значення параметра,110,add_value
439,Can change Значення параметра,110,change_value
440,Can delete Значення параметра,110,delete_value
441,Can view Значення параметра,110,view_value
25,Can add content type,7,add_contenttype
26,Can change content type,7,change_contenttype
27,Can delete content type,7,delete_contenttype
28,Can view content type,7,view_contenttype
5,Can add dashboard preferences,2,add_dashboardpreferences
6,Can change dashboard preferences,2,change_dashboardpreferences
7,Can delete dashboard preferences,2,delete_dashboardpreferences
8,Can view dashboard preferences,2,view_dashboardpreferences
41,Can add attachment,11,add_attachment
42,Can change attachment,11,change_attachment
43,Can delete attachment,11,delete_attachment
44,Can view attachment,11,view_attachment
69,Can add source,18,add_source
70,Can change source,18,change_source
71,Can delete source,18,delete_source
72,Can view source,18,view_source
73,Can add thumbnail,19,add_thumbnail
74,Can change thumbnail,19,change_thumbnail
75,Can delete thumbnail,19,delete_thumbnail
76,Can view thumbnail,19,view_thumbnail
77,Can add thumbnail dimensions,20,add_thumbnaildimensions
78,Can change thumbnail dimensions,20,change_thumbnaildimensions
79,Can delete thumbnail dimensions,20,delete_thumbnaildimensions
80,Can view thumbnail dimensions,20,view_thumbnaildimensions
81,Can add clipboard,21,add_clipboard
82,Can change clipboard,21,change_clipboard
83,Can delete clipboard,21,delete_clipboard
84,Can view clipboard,21,view_clipboard
85,Can add clipboard item,22,add_clipboarditem
86,Can change clipboard item,22,change_clipboarditem
87,Can delete clipboard item,22,delete_clipboarditem
88,Can view clipboard item,22,view_clipboarditem
89,Can add file,23,add_file
90,Can change file,23,change_file
91,Can delete file,23,delete_file
92,Can view file,23,view_file
93,Can add Folder,24,add_folder
97,Can use directory listing,24,can_use_directory_listing
94,Can change Folder,24,change_folder
95,Can delete Folder,24,delete_folder
96,Can view Folder,24,view_folder
98,Can add folder permission,25,add_folderpermission
99,Can change folder permission,25,change_folderpermission
100,Can delete folder permission,25,delete_folderpermission
101,Can view folder permission,25,view_folderpermission
102,Can add image,26,add_image
103,Can change image,26,change_image
104,Can delete image,26,delete_image
105,Can view image,26,view_image
106,Can add thumbnail option,27,add_thumbnailoption
107,Can change thumbnail option,27,change_thumbnailoption
108,Can delete thumbnail option,27,delete_thumbnailoption
109,Can view thumbnail option,27,view_thumbnailoption
37,Can add flat page,10,add_flatpage
38,Can change flat page,10,change_flatpage
39,Can delete flat page,10,delete_flatpage
40,Can view flat page,10,view_flatpage
