code,meta_title,meta_title_uk,meta_title_en,meta_title_ru,meta_descr,meta_descr_uk,meta_descr_en,meta_descr_ru,meta_key,meta_key_uk,meta_key_en,meta_key_ru
about,about,about,,,about,about,,about,about,about,,about
header,,,,,,,,,,,,
footer,,,,,,,,,,,,
test_drive,test_drive,test_drive,,,test_drive,test_drive,,test_drive,test_drive,test_drive,,test_drive
shop,shop,shop,,,shop,shop,,shop,shop,shop,,shop
search,search,search,,,search,search,,search,search,search,,search
profile,profile,profile,,,profile,profile,,profile,profile,profile,,profile
order,order,order,,,order,order,,order,order,order,,order
general,Загальна сторінка,Загальна сторінка,,,,,,,,,,
index,index,index,,,index,index,,index,index,index,,index
page_code,,,,,,,,,,,,
faq,faq,faq,,,faq,faq,,faq,faq,faq,,faq
constructor,constructor,constructor,,,constructor,constructor,,constructor,constructor,constructor,,constructor
delivery,delivery,delivery,,,delivery,delivery,,delivery,delivery,delivery,,delivery
login,login,login,,,login,login,,login,login,login,,login
register,register,register,,,register,register,,register,register,register,,register
contacts,,,,,,,,,,,,
