itemid,attribute_name,value_value,id,item_attribute,value,price,currency,amount,proposition,description,description_uk,description_en,description_ru
1,опції,крила,1,1,76,900.00,UAH,,1,,,,
1,опції,додаткова батарея,2,1,77,8000.00,UAH,,1,,,,
1,колір рами,фіолетовий,6,2,66,0.00,UAH,,,,,,
1,колір рами,темно-зелений,8,2,65,0.00,UAH,,,,,,
1,колір рами,світло-зелений,10,2,73,0.00,UAH,,,,,,
1,колір рами,бежевий,12,2,57,0.00,UAH,,,,,,
1,колір ободів,темно-зелений,14,4,65,87.00,UAH,,,,,,
1,колір ободів,значення атрибута колір 0,17,4,71,2.00,UAH,,,,,,
1,колір ободів,значення атрибута колір 3,19,4,69,54.00,UAH,,,,,,
2,опції,крила,36,10,76,900.00,UAH,,,"Повноцінні, закриті","Повноцінні, закриті",,
2,опції,багажник,37,10,81,800.00,UAH,,,,,,
2,опції,дзеркала,38,10,82,900.00,UAH,,,,,,
2,опції,usb для зарядки девайсів,39,10,83,200.00,UAH,,,,,,
2,колір наклейок бокових панелей,значення атрибута колір 3,41,11,64,86.00,UAH,,,,,,
2,колір наклейок бокових панелей,значення атрибута колір 3,43,11,69,8.00,UAH,,,,,,
2,колір наклейок бокових панелей,значення атрибута колір 3,45,11,74,71.00,UAH,,,,,,
2,колір бокових панелей,білий,48,13,56,86.00,UAH,,,,,,
2,колір бокових панелей,значення атрибута колір 2,49,13,58,19.00,UAH,,,,,,
2,колір бокових панелей,значення атрибута колір 4,51,13,70,45.00,UAH,,,,,,
2,колір бокових панелей,значення атрибута колір 3,53,13,59,5.00,UAH,,,,,,
2,колір ободів,значення атрибута колір 4,55,15,70,91.00,UAH,,,,,,
2,колір ободів,значення атрибута колір 3,57,15,69,76.00,UAH,,,,,,
2,колір ободів,значення атрибута колір 2,59,15,53,86.00,UAH,,,,,,
2,колір ободів,значення атрибута колір 4,61,15,75,28.00,UAH,,,,,,
2,колір захисту контролера,чорний,63,17,67,60.00,UAH,,,,,,
2,колір захисту контролера,значення атрибута колір 1,64,17,62,29.00,UAH,,,,,,
2,колір захисту контролера,значення атрибута колір 1,66,17,72,89.00,UAH,,,,,,
2,колір захисту контролера,фіолетовий,68,17,66,72.00,UAH,,,,,,
3,опції,поворотні вогні,69,19,84,578.00,UAH,,,,,,
3,опції,сигналізація та дистанційний запуск,70,19,85,579.00,UAH,,,,,,
3,опції,gps трекер,71,19,86,692.00,UAH,,,,,,
3,опції,опція 4,72,19,87,730.00,UAH,,,,,,
3,атрибут 1,крила,73,21,76,49.00,UAH,,,,,,
3,задня зірка,зірка 50т,74,20,2,67.00,UAH,,,,,,
3,атрибут 1,педальний привід,75,21,4,74.00,UAH,,,,,,
3,задня зірка,фіолетовий,76,20,66,39.00,UAH,,,,,,
3,атрибут 1,значення атрибута 8,77,21,9,47.00,UAH,,,,,,
3,задня зірка,значення атрибута колір 3,78,20,59,57.00,UAH,,,,,,
3,атрибут 1,значення атрибута 37,79,21,38,12.00,UAH,,,,,,
3,задня зірка,значення атрибута колір 2,80,20,63,43.00,UAH,,,,,,
3,колір захисту контролера,значення атрибута 46,81,23,47,0.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 2,82,22,68,36.00,UAH,,,,,,
3,колір захисту контролера,значення атрибута 34,83,23,35,58.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 2,84,22,63,5.00,UAH,,,,,,
3,колір захисту контролера,значення атрибута 37,85,23,38,99.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 4,86,22,70,16.00,UAH,,,,,,
3,колір захисту контролера,значення атрибута 16,87,23,17,4.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 4,88,22,60,44.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 2,90,22,53,34.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 4,92,22,55,80.00,UAH,,,,,,
3,колір ободів,значення атрибута колір 3,95,22,74,71.00,UAH,,,,,,
4,опції,опція 1,103,27,88,505.00,UAH,,,,,,
4,опції,опція 2,104,27,89,495.00,UAH,,,,,,
4,опції,опція 3,105,27,90,450.00,UAH,,,,,,
4,опції,опція 4,106,27,91,426.00,UAH,,,,,,
4,атрибут 43,значення атрибута 9,107,29,10,69.00,UAH,,,,,,
4,колір наклейок бокових панелей,значення атрибута колір 2,108,28,63,23.00,UAH,,,,,,
4,атрибут 43,значення атрибута 44,109,29,45,47.00,UAH,,,,,,
4,колір наклейок бокових панелей,значення атрибута колір 4,110,28,55,22.00,UAH,,,,,,
4,атрибут 43,значення атрибута 38,111,29,39,2.00,UAH,,,,,,
4,колір наклейок бокових панелей,світло-зелений,112,28,73,61.00,UAH,,,,,,
4,атрибут 43,значення атрибута 48,113,29,49,68.00,UAH,,,,,,
4,колір наклейок бокових панелей,білий,114,28,56,52.00,UAH,,,,,,
4,атрибут 40,значення атрибута 23,115,31,24,15.00,UAH,,,,,,
4,колір ободів,значення атрибута колір 2,116,30,53,69.00,UAH,,,,,,
4,атрибут 40,значення атрибута 24,117,31,25,10.00,UAH,,,,,,
4,колір ободів,значення атрибута колір 4,118,30,70,12.00,UAH,,,,,,
4,атрибут 40,значення атрибута 18,119,31,19,73.00,UAH,,,,,,
4,колір ободів,бежевий,120,30,57,40.00,UAH,,,,,,
4,атрибут 40,значення атрибута 31,121,31,32,81.00,UAH,,,,,,
4,колір ободів,значення атрибута колір 4,122,30,60,65.00,UAH,,,,,,
4,колір рами,значення атрибута колір 0,124,32,61,31.00,UAH,,,,,,
4,колір рами,фіолетовий,126,32,66,40.00,UAH,,,,,,
4,колір рами,значення атрибута колір 4,128,32,55,17.00,UAH,,,,,,
4,колір рами,чорний,130,32,67,82.00,UAH,,,,,,
4,атрибут 39,значення атрибута 39,131,35,40,83.00,UAH,,,,,,
4,колір захисту контролера,бежевий,132,34,57,29.00,UAH,,,,,,
4,атрибут 39,значення атрибута 46,133,35,47,81.00,UAH,,,,,,
4,колір захисту контролера,білий,134,34,56,78.00,UAH,,,,,,
4,атрибут 39,значення атрибута 18,135,35,19,98.00,UAH,,,,,,
