id,is_active,code,name,name_uk,name_en,name_ru,type,attr,feature,tab_group
1,1,seat_type,Тип сидіннь,Тип сидіннь,Тип сидіннь,Тип сидіннь,radio_small,60,,1
2,1,seat_color,Колір сидіннь,Колір сидіннь,Колір сидіннь,Колір сидіннь,radio_color,61,,1
3,1,side_panels,Товщина панелей,Товщина панелей,Товщина панелей,Товщина панелей,radio_small,62,,2
4,1,panel_color,Колір панелей,Колір панелей,Колір панелей,Колір панелей,radio_color,54,,2
5,1,fork_type,Тип вилки,Тип вилки,Тип вилки,Тип вилки,radio_img,,20,3
6,1,shock_absorber,Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора,radio_img,,21,4
7,1,wheel_size,Тип коліс,Тип коліс,Тип коліс,Тип коліс,radio_small,63,,5
8,1,wheel_size_color,Колір коліс,Колір коліс,Колір коліс,Колір коліс,radio_color,52,,5
9,1,break_type,Тип гальм,Тип гальм,Тип гальм,Тип гальм,radio_img,,11,6
10,1,acum_type,Акумулятор,Акумулятор,Акумулятор,Акумулятор,radio_small,,15,7
11,1,controller,Контроллер,Контроллер,Контроллер,Контроллер,radio_small,,16,8
12,1,motor,Мотор,Мотор,Мотор,Мотор,radio_small,,17,9
13,1,checkbox_options,Опції,Опції,Опції,Опції,checkbox_options,56,,10
14,1,fork_type,Тип вилки,Тип вилки,Тип вилки,Тип вилки,radio_img,,20,11
15,1,wheel_size,Тип коліс,Тип коліс,Тип коліс,Тип коліс,radio_small,63,,12
16,1,wheel_size_color,Колір коліс,Колір коліс,Колір коліс,Колір коліс,radio_color,52,,12
17,1,break_type,Тип гальм,Тип гальм,Тип гальм,Тип гальм,radio_img,,11,13
18,1,acum_type,Аккумулятор,Аккумулятор,Аккумулятор,Аккумулятор,radio_small,,15,14
19,1,controller,Контроллер,Контроллер,Контроллер,Контроллер,radio_small,,16,15
20,1,motor,Мотор,Мотор,Мотор,Мотор,radio_small,,17,16
21,1,checkbox_options,Опції,Опції,Опції,Опції,checkbox_options,56,,17
22,1,fork_type,Тип вилки,Тип вилки,Тип вилки,Тип вилки,radio_img,,20,18
23,1,shock_absorber,Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора,radio_img,,21,19
24,1,wheel_size,Тип коліс,Тип коліс,Тип коліс,Тип коліс,radio_small,63,,20
25,1,wheel_size_color,Колір коліс,Колір коліс,Колір коліс,Колір коліс,radio_color,52,,20
26,1,break_type,Тип гальм,Тип гальм,Тип гальм,Тип гальм,radio_img,,11,21
27,1,motor,Мотор,Мотор,Мотор,Мотор,radio_small,,17,22
28,1,rear_star,Зірка задня,Зірка задня,Зірка задня,Зірка задня,radio_small,1,,23
29,1,checkbox_options,Опції,Опції,Опції,Опції,checkbox_options,56,,24
30,1,wheel_size,Тип коліс,Тип коліс,Тип коліс,Тип коліс,radio_small,63,,25
31,1,wheel_size_color,Колір коліс,Колір коліс,Колір коліс,Колір коліс,radio_color,52,,25
32,1,checkbox_options,Опції,Опції,Опції,Опції,checkbox_options,56,,26
