id,code,attribute,value,value_uk,value_en,value_ru
1,,,значення атрибута 0,значення атрибута 0,,
2,,,значення атрибута 1,значення атрибута 1,,
3,,,значення атрибута 2,значення атрибута 2,,
4,,,значення атрибута 3,значення атрибута 3,,
5,,,значення атрибута 4,значення атрибута 4,,
6,,,значення атрибута 5,значення атрибута 5,,
7,,,значення атрибута 6,значення атрибута 6,,
8,,,значення атрибута 7,значення атрибута 7,,
9,,,значення атрибута 8,значення атрибута 8,,
10,,,значення атрибута 9,значення атрибута 9,,
11,,,значення атрибута 10,значення атрибута 10,,
12,,,значення атрибута 11,значення атрибута 11,,
13,,,значення атрибута 12,значення атрибута 12,,
14,,,значення атрибута 13,значення атрибута 13,,
15,,,значення атрибута 14,значення атрибута 14,,
16,,,значення атрибута 15,значення атрибута 15,,
17,,,значення атрибута 16,значення атрибута 16,,
18,,,значення атрибута 17,значення атрибута 17,,
19,,,значення атрибута 18,значення атрибута 18,,
20,,,значення атрибута 19,значення атрибута 19,,
21,,,значення атрибута 20,значення атрибута 20,,
22,,,значення атрибута 21,значення атрибута 21,,
23,,,значення атрибута 22,значення атрибута 22,,
24,,,значення атрибута 23,значення атрибута 23,,
25,,,значення атрибута 24,значення атрибута 24,,
26,,,значення атрибута 25,значення атрибута 25,,
27,,,значення атрибута 26,значення атрибута 26,,
28,,,значення атрибута 27,значення атрибута 27,,
29,,,значення атрибута 28,значення атрибута 28,,
30,,,значення атрибута 29,значення атрибута 29,,
31,,,значення атрибута 30,значення атрибута 30,,
32,,,значення атрибута 31,значення атрибута 31,,
33,,,значення атрибута 32,значення атрибута 32,,
34,,,значення атрибута 33,значення атрибута 33,,
35,,,значення атрибута 34,значення атрибута 34,,
36,,,значення атрибута 35,значення атрибута 35,,
37,,,значення атрибута 36,значення атрибута 36,,
38,,,значення атрибута 37,значення атрибута 37,,
39,,,значення атрибута 38,значення атрибута 38,,
40,,,значення атрибута 39,значення атрибута 39,,
41,,,значення атрибута 40,значення атрибута 40,,
42,,,значення атрибута 41,значення атрибута 41,,
43,,,значення атрибута 42,значення атрибута 42,,
44,,,значення атрибута 43,значення атрибута 43,,
45,,,значення атрибута 44,значення атрибута 44,,
46,,,значення атрибута 45,значення атрибута 45,,
47,,,значення атрибута 46,значення атрибута 46,,
48,,,значення атрибута 47,значення атрибута 47,,
49,,,значення атрибута 48,значення атрибута 48,,
50,,,значення атрибута 49,значення атрибута 49,,
51,4fad9e,51,значення атрибута колір 0,значення атрибута колір 0,,
52,507389,51,значення атрибута колір 1,значення атрибута колір 1,,
53,1a3cce,51,значення атрибута колір 2,значення атрибута колір 2,,
54,1691c7,51,значення атрибута колір 3,значення атрибута колір 3,,
55,fb6cee,51,значення атрибута колір 4,значення атрибута колір 4,,
56,25a158,52,значення атрибута колір 0,значення атрибута колір 0,,
57,fceb17,52,значення атрибута колір 1,значення атрибута колір 1,,
58,239aa7,52,значення атрибута колір 2,значення атрибута колір 2,,
59,3649b8,52,значення атрибута колір 3,значення атрибута колір 3,,
60,3e3a4d,52,значення атрибута колір 4,значення атрибута колір 4,,
61,91ddbc,53,значення атрибута колір 0,значення атрибута колір 0,,
62,a1eb26,53,значення атрибута колір 1,значення атрибута колір 1,,
63,b8eca4,53,значення атрибута колір 2,значення атрибута колір 2,,
64,3eb175,53,значення атрибута колір 3,значення атрибута колір 3,,
65,5d9441,53,значення атрибута колір 4,значення атрибута колір 4,,
66,76065d,54,значення атрибута колір 0,значення атрибута колір 0,,
67,67d925,54,значення атрибута колір 1,значення атрибута колір 1,,
68,7fd951,54,значення атрибута колір 2,значення атрибута колір 2,,
69,53a931,54,значення атрибута колір 3,значення атрибута колір 3,,
70,ea7432,54,значення атрибута колір 4,значення атрибута колір 4,,
71,149474,55,значення атрибута колір 0,значення атрибута колір 0,,
72,1aecc0,55,значення атрибута колір 1,значення атрибута колір 1,,
73,54a9a8,55,значення атрибута колір 2,значення атрибута колір 2,,
74,09ad44,55,значення атрибута колір 3,значення атрибута колір 3,,
75,8084a2,55,значення атрибута колір 4,значення атрибута колір 4,,
76,,,опція 1,опція 1,,
77,,,опція 2,опція 2,,
78,,,опція 3,опція 3,,
79,,,опція 4,опція 4,,
80,,,опція 1,опція 1,,
81,,,опція 2,опція 2,,
82,,,опція 3,опція 3,,
83,,,опція 4,опція 4,,
84,,,опція 1,опція 1,,
85,,,опція 2,опція 2,,
86,,,опція 3,опція 3,,
87,,,опція 4,опція 4,,
88,,,опція 1,опція 1,,
89,,,опція 2,опція 2,,
90,,,опція 3,опція 3,,
91,,,опція 4,опція 4,,
