id,code,attribute,value,value_uk,value_en,value_ru
1,,56,зірка 41т,зірка 41т,sprocket 41Т,звезда 41Т
2,,56,зірка 50т,зірка 50т,sprocket 50Т,звезда 50Т
3,,56,зірка 60т,зірка 60т,sprocket 60Т,звезда 60Т
4,,56,педальний привід,педальний привід,Pedal drive,Педальний привод
9,,,значення атрибута 8,значення атрибута 8,,
10,,,значення атрибута 9,значення атрибута 9,,
17,,,значення атрибута 16,значення атрибута 16,,
19,,,значення атрибута 18,значення атрибута 18,,
24,,,значення атрибута 23,значення атрибута 23,,
25,,,значення атрибута 24,значення атрибута 24,,
32,,,значення атрибута 31,значення атрибута 31,,
35,,,значення атрибута 34,значення атрибута 34,,
38,,,значення атрибута 37,значення атрибута 37,,
39,,,значення атрибута 38,значення атрибута 38,,
40,,,значення атрибута 39,значення атрибута 39,,
45,,,значення атрибута 44,значення атрибута 44,,
47,,,значення атрибута 46,значення атрибута 46,,
49,,,значення атрибута 48,значення атрибута 48,,
50,,,значення атрибута 49,значення атрибута 49,,
51,d0f487,51,значення атрибута колір 0,значення атрибута колір 0,,
52,7be4ec,51,значення атрибута колір 1,значення атрибута колір 1,,
53,9ee7f4,51,значення атрибута колір 2,значення атрибута колір 2,,
54,34e45c,51,значення атрибута колір 3,значення атрибута колір 3,,
55,6e0ae7,51,значення атрибута колір 4,значення атрибута колір 4,,
56,FFFFFF,51,білий,білий,,
57,d8c585,52,бежевий,бежевий,,
58,e42049,52,значення атрибута колір 2,значення атрибута колір 2,,
59,449418,52,значення атрибута колір 3,значення атрибута колір 3,,
60,40137b,52,значення атрибута колір 4,значення атрибута колір 4,,
61,ed6514,53,значення атрибута колір 0,значення атрибута колір 0,,
62,6a0881,53,значення атрибута колір 1,значення атрибута колір 1,,
63,4395a4,53,значення атрибута колір 2,значення атрибута колір 2,,
64,3c91bc,53,значення атрибута колір 3,значення атрибута колір 3,,
65,18391a,53,темно-зелений,темно-зелений,,
66,6b35f1,54,фіолетовий,фіолетовий,,
67,000000,54,чорний,чорний,,
68,0ff960,54,значення атрибута колір 2,значення атрибута колір 2,,
69,db1789,54,значення атрибута колір 3,значення атрибута колір 3,,
70,eb0f5b,54,значення атрибута колір 4,значення атрибута колір 4,,
71,01cac6,55,значення атрибута колір 0,значення атрибута колір 0,,
72,9d8008,55,значення атрибута колір 1,значення атрибута колір 1,,
73,16af15,55,світло-зелений,світло-зелений,,
74,d6567e,55,значення атрибута колір 3,значення атрибута колір 3,,
75,835ab2,55,значення атрибута колір 4,значення атрибута колір 4,,
76,,56,крила,крила,,
77,,56,додаткова батарея,додаткова батарея,,
78,,56,слікові покришки,слікові покришки,,
79,,,опція 4,опція 4,,
80,,56,прикурювач 12v,прикурювач 12v,Cigarette lighter 12v,Прикуриватель 12в
81,,56,багажник,багажник,Trunk,Багажник
82,,56,дзеркала,дзеркала,,
83,,56,usb для зарядки девайсів,usb для зарядки девайсів,USB for charging devices,USB для зарядки гаджетов
84,,56,поворотні вогні,поворотні вогні,Rotating lights,Поворотные огни
85,,56,сигналізація та дистанційний запуск,сигналізація та дистанційний запуск,Alarm and remote start,Сигнализация и дистанционный запуск
86,,56,gps трекер,gps трекер,GPS tracker,GPS трекер
87,,,опція 4,опція 4,,
88,,,опція 1,опція 1,,
89,,,опція 2,опція 2,,
90,,,опція 3,опція 3,,
91,,,опція 4,опція 4,,
92,mud,56,крила,крила,Mud,Бризговики
93,leg,56,підножка,підножка,Underlegger,Подножка
94,,56,дитяче сидіння,дитяче сидіння,Child seat,Детское седло
95,controller_protection,56,захист контролера,захист контролера,Controller protection,Защита контролера
96,169DFF,51,голубий,голубий,blue,голубой
97,BC0A0A,51,червоний,червоний,Red,Красный
98,2A2A2A,51,світло-чорний,світло-чорний,,
99,295CCD,51,синій,синій,,
100,EC7300,51,оранжевий,оранжевий,,
101,F6DB00,51,жовтий,жовтий,,
