id,is_active,tab_group,type,code,name,name_uk,name_ru,name_en
1,1,1,"radio_small","seat_type",Тип сидіннь,Тип сидіннь,Тип сидіннь,Тип сидіннь
2,1,1,"radio_color","seat_color",Колір сидіннь,Колір сидіннь,Колір сидіннь,Колір сидіннь
3,1,2,"radio_small","side_panels",Товщина панелей,Товщина панелей,Товщина панелей,Товщина панелей
4,1,2,"radio_color","panel_color",Колір панелей,Колір панелей,Колір панелей,Колір панелей
5,1,3,"radio_img","fork_type",Тип вилки,Тип вилки,Тип вилки,Тип вилки
6,1,4,"radio_img","shock_absorber",Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора
7,1,5,"radio_small","wheel_size",Тип коліс,Тип коліс,Тип коліс,Тип коліс
8,1,5,"radio_color","wheel_size_color",Колір коліс,Колір коліс,Колір коліс,Колір коліс
9,1,6,"radio_img","break_type",Тип гальм,Тип гальм,Тип гальм,Тип гальм
10,1,7,"radio_small","acum_type",Акумулятор,Акумулятор,Акумулятор,Акумулятор
11,1,8,"radio_small","controller",Контроллер,Контроллер,Контроллер,Контроллер
12,1,9,"radio_small","motor",Мотор,Мотор,Мотор,Мотор
13,1,10,"checkbox_options","checkbox_options",Опції,Опції,Опції,Опції
14,1,11,"radio_img","fork_type",Тип вилки,Тип вилки,Тип вилки,Тип вилки
15,1,12,"radio_small","wheel_size",Тип коліс,Тип коліс,Тип коліс,Тип коліс
16,1,12,"radio_color","wheel_size_color",Колір коліс,Колір коліс,Колір коліс,Колір коліс
17,1,13,"radio_img","break_type",Тип гальм,Тип гальм,Тип гальм,Тип гальм
18,1,14,"radio_small","acum_type",Аккумулятор,Аккумулятор,Аккумулятор,Аккумулятор
19,1,15,"radio_small","controller",Контроллер,Контроллер,Контроллер,Контроллер
20,1,16,"radio_small","motor",Мотор,Мотор,Мотор,Мотор
21,1,17,"checkbox_options","checkbox_options",Опції,Опції,Опції,Опції
22,1,18,"radio_img","fork_type",Тип вилки,Тип вилки,Тип вилки,Тип вилки
23,1,19,"radio_img","shock_absorber",Тип амортизатора,Тип амортизатора,Тип амортизатора,Тип амортизатора
24,1,20,"radio_small","wheel_size",Тип коліс,Тип коліс,Тип коліс,Тип коліс
25,1,20,"radio_color","wheel_size_color",Колір коліс,Колір коліс,Колір коліс,Колір коліс
26,1,21,"radio_img","break_type",Тип гальм,Тип гальм,Тип гальм,Тип гальм
27,1,22,"radio_small","motor",Мотор,Мотор,Мотор,Мотор
28,1,23,"radio_small","rear_star",Зірка задня,Зірка задня,Зірка задня,Зірка задня
29,1,24,"checkbox_options","checkbox_options",Опції,Опції,Опції,Опції
30,1,25,"radio_small","wheel_size",Тип коліс,Тип коліс,Тип коліс,Тип коліс
31,1,25,"radio_color","wheel_size_color",Колір коліс,Колір коліс,Колір коліс,Колір коліс
32,1,26,"checkbox_options","checkbox_options",Опції,Опції,Опції,Опції
