id,is_active,tab,type,name,name_uk,name_ru,name_en
1,1,1,"",Сидіння,Сидіння,Сидіння,Сидіння
2,1,1,"",Бічні панелі,Бічні панелі,Бічні панелі,Бічні панелі
3,1,2,"",Вилка,Вилка,Вилка,Вилка
4,1,2,"",Амортизатори,Амортизатори,Амортизатори,Амортизатори
5,1,2,"",Колеса,Колеса,Колеса,Колеса
6,1,2,"",Гальма,Гальма,Гальма,Гальма
7,1,3,"",Группа "Акумулятор,Группа "Акумулятор,Группа "Акумулятор,Группа "Акумулятор
8,1,3,"",Группа "Контроллер,Группа "Контроллер,Группа "Контроллер,Группа "Контроллер
9,1,3,"",Группа "Мотор,Группа "Мотор,Группа "Мотор,Группа "Мотор
10,1,3,"checkbox_options",Группа "Опції,Группа "Опції,Группа "Опції,Группа "Опції
11,1,5,"",Вилка,Вилка,Вилка,Вилка
12,1,5,"",Колеса,Колеса,Колеса,Колеса
13,1,5,"",Гальма,Гальма,Гальма,Гальма
14,1,6,"",Группа "Аккумулятор,Группа "Аккумулятор,Группа "Аккумулятор,Группа "Аккумулятор
15,1,6,"",Группа "Контроллер,Группа "Контроллер,Группа "Контроллер,Группа "Контроллер
16,1,6,"",Группа "Мотор,Группа "Мотор,Группа "Мотор,Группа "Мотор
17,1,6,"checkbox_options",Группа "Опції,Группа "Опції,Группа "Опції,Группа "Опції
18,1,8,"",Вилка,Вилка,Вилка,Вилка
19,1,8,"",Амортизатор,Амортизатор,Амортизатор,Амортизатор
20,1,8,"",Колеса,Колеса,Колеса,Колеса
21,1,8,"",Гальма,Гальма,Гальма,Гальма
22,1,9,"",Группа "Мотор,Группа "Мотор,Группа "Мотор,Группа "Мотор
23,1,9,"",Группа "Зірказадня,Группа "Зірказадня,Группа "Зірказадня,Группа "Зірказадня
24,1,9,"checkbox_options",Группа "Опції,Группа "Опції,Группа "Опції,Группа "Опції
25,1,11,"",Колеса,Колеса,Колеса,Колеса
26,1,12,"checkbox_options",Группа "Опції,Группа "Опції,Группа "Опції,Группа "Опції
